id,identifier,name,category_id,cost,short_effect
292,rock-incense,Rock Incense,19,2000,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.
293,full-incense,Full Incense,15,5000,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.
294,wave-incense,Wave Incense,19,2000,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.
295,rose-incense,Rose Incense,19,2000,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.
296,luck-incense,Luck Incense,16,11000,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.
297,pure-incense,Pure Incense,16,6000,Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.
298,protector,Protector,10,2000,Traded on a Rhydon: Holder evolves into Rhyperior.
299,electirizer,Electirizer,10,2000,Traded on an Electabuzz: Holder evolves into Electivire.
300,magmarizer,Magmarizer,10,2000,Traded on a Magmar: Holder evolves into Magmortar.
301,dubious-disc,Dubious Disc,10,2000,Traded on a Porygon2: Holder evolves into Porygon-Z.
302,reaper-cloth,Reaper Cloth,10,2000,Traded on a Dusclops: Holder evolves into Dusknoir.
303,razor-claw,Razor Claw,12,5000,Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.
304,razor-fang,Razor Fang,12,5000,Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.
305,tm01,TM01,37,10000,Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch)
306,tm02,TM02,37,10000,Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind)
307,tm03,TM03,37,10000,Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance)
308,tm04,TM04,37,10000,Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind)
309,tm05,TM05,37,10000,Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick)
310,tm06,TM06,37,10000,Teaches Toxic to a compatible Pokémon.
311,tm07,TM07,37,50000,Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill)
312,tm08,TM08,37,10000,Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam)
313,tm09,TM09,37,10000,Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down)
314,tm10,TM10,37,10000,Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge)
315,tm11,TM11,37,50000,Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam)
316,tm12,TM12,37,10000,Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun)
317,tm13,TM13,37,10000,Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore)
318,tm14,TM14,37,30000,Teaches Blizzard to a compatible Pokémon.
319,tm15,TM15,37,50000,Teaches Hyper Beam to a compatible Pokémon.
320,tm16,TM16,37,10000,Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day)
321,tm17,TM17,37,10000,Teaches Protect to a compatible Pokémon. (Gen I: Submission)
322,tm18,TM18,37,50000,Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter)
323,tm19,TM19,37,10000,Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss)
324,tm20,TM20,37,10000,Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage)
325,tm21,TM21,37,10000,Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain)
326,tm22,TM22,37,10000,Teaches SolarBeam to a compatible Pokémon.
327,tm23,TM23,37,10000,Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage)
328,tm24,TM24,37,10000,Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath)
329,tm25,TM25,37,30000,Teaches Thunder to a compatible Pokémon.
330,tm26,TM26,37,10000,Teaches Earthquake to a compatible Pokémon.
331,tm27,TM27,37,10000,Teaches Return to a compatible Pokémon. (Gen I: Fissure)
332,tm28,TM28,37,30000,Teaches Dig to a compatible Pokémon.
333,tm29,TM29,37,10000,Teaches Psychic to a compatible Pokémon.
334,tm30,TM30,37,10000,Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport)
335,tm31,TM31,37,10000,Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic)
336,tm32,TM32,37,10000,Teaches Double Team to a compatible Pokémon.
337,tm33,TM33,37,10000,Teaches Reflect to a compatible Pokémon. (Gen II: Ice Punch)
338,tm34,TM34,37,10000,Teaches Sludge Wave to a compatible Pokémon. (Gen IV & III: Shock Wave Gen II: Swagger Gen I: Bide)
339,tm35,TM35,37,10000,Teaches Flamethrower to a compatible Pokémon. (Gen II: Sleep Talk Gen I: Metronome)
340,tm36,TM36,37,10000,Teaches Sludge Bomb to a compatible Pokémon. (Gen I: Selfdestruct)
341,tm37,TM37,37,50000,Teaches Sandstorm to a compatible Pokémon. (Gen I: Egg Bomb)
342,tm38,TM38,37,30000,Teaches Fire Blast to a compatible Pokémon.
343,tm39,TM39,37,10000,Teaches Rock Tomb to a compatible Pokémon. (Gen II & I: Swift)
344,tm40,TM40,37,10000,Teaches Aerial Ace to a compatible Pokémon. (Gen II: Defense Curl Gen I: Skull Bash)
345,tm41,TM41,37,10000,Teaches Torment to a compatible Pokémon. (Gen II: ThunderPunch Gen I: Softboiled)
346,tm42,TM42,37,10000,Teaches Facade to a compatible Pokémon. (Gen II & I: Dream Eater)
347,tm43,TM43,37,10000,Teaches Flame Charge to a compatible Pokémon. (Gen IV & III: Secret Power Gen II: Detect Gen I: Sky Attack)
348,tm44,TM44,37,10000,Teaches Rest to a compatible Pokémon.
349,tm45,TM45,37,10000,Teaches Attract to a compatible Pokémon. (Gen I: Thunder Wave)
350,tm46,TM46,37,10000,Teaches Thief to a compatible Pokémon. (Gen I: Psywave)
351,tm47,TM47,37,10000,Teaches Low Sweep to a compatible Pokémon. (Gen IV & III & II: Steel Wing Gen I: Explosion)
352,tm48,TM48,37,10000,Teaches Round to a compatible Pokémon. (Gen IV & III: Skill Swap Gen II: Fire Punch Gen I: Rock Slide)
353,tm49,TM49,37,10000,Teaches Echoed Voice to a compatible Pokémon. (Gen IV & III: Snatch Gen II: Fury Cutter Gen I: Tri Attack)
354,tm50,TM50,37,80000,Teaches Overheat to a compatible Pokémon. (Gen II: Nightmare Gen I: Substitute)
355,tm51,TM51,37,10000,Teaches Ally Switch to a compatible Pokémon. (Gen IV: Roost)
356,tm52,TM52,37,30000,Teaches Focus Blast to a compatible Pokémon.
357,tm53,TM53,37,10000,Teaches Energy Ball to a compatible Pokémon.
358,tm54,TM54,37,10000,Teaches False Swipe to a compatible Pokémon.
359,tm55,TM55,37,10000,Teaches Scald to a compatible Pokémon. (Gen IV: Brine)
360,tm56,TM56,37,10000,Teaches Fling to a compatible Pokémon.
361,tm57,TM57,37,10000,Teaches Charge Beam to a compatible Pokémon.
362,tm58,TM58,37,10000,Teaches Sky Drop to a compatible Pokémon. (Gen IV: Endure)
363,tm59,TM59,37,30000,Teaches Incinerate to a compatible Pokémon. (Gen IV: Dragon Pulse)
364,tm60,TM60,37,10000,Teaches Quash to a compatible Pokémon. (Gen IV: Drain Punch)
365,tm61,TM61,37,10000,Teaches Will-O-Wisp to a compatible Pokémon.
366,tm62,TM62,37,10000,Teaches Acrobatics to a compatible Pokémon. (Gen IV: Silver Wind)
367,tm63,TM63,37,10000,Teaches Embargo to a compatible Pokémon.
368,tm64,TM64,37,10000,Teaches Explosion to a compatible Pokémon.
369,tm65,TM65,37,10000,Teaches Shadow Claw to a compatible Pokémon.
370,tm66,TM66,37,10000,Teaches Payback to a compatible Pokémon.
371,tm67,TM67,37,10000,Teaches Retaliate to a compatible Pokémon. (Gen IV: Recycle)
372,tm68,TM68,37,50000,Teaches Giga Impact to a compatible Pokémon.
373,tm69,TM69,37,10000,Teaches Rock Polish to a compatible Pokémon.
374,tm70,TM70,37,30000,Teaches Flash to a compatible Pokémon.
375,tm71,TM71,37,30000,Teaches Stone Edge to a compatible Pokémon.
376,tm72,TM72,37,10000,Teaches Volt Switch to a compatible Pokémon. (Gen IV: Avalanche)
377,tm73,TM73,37,5000,Teaches Thunder Wave to a compatible Pokémon.
378,tm74,TM74,37,10000,Teaches Gyro Ball to a compatible Pokémon.
379,tm75,TM75,37,10000,Teaches Swords Dance to a compatible Pokémon.
380,tm76,TM76,37,10000,Teaches Struggle Bug to a compatible Pokémon. (Gen IV: Stealth Rock)
381,tm77,TM77,37,10000,Teaches Psych Up to a compatible Pokémon.
382,tm78,TM78,37,10000,Teaches Bulldoze to a compatible Pokémon. (Gen IV: Captivate)
383,tm79,TM79,37,10000,Teaches Frost Breath to a compatible Pokémon. (Gen IV: Dark Pulse)
384,tm80,TM80,37,10000,Teaches Rock Slide to a compatible Pokémon.
385,tm81,TM81,37,10000,Teaches X-Scissor to a compatible Pokémon.
386,tm82,TM82,37,10000,Teaches Dragon Tail to a compatible Pokémon. (Gen IV: Sleep Talk)
387,tm83,TM83,37,10000,Teaches Work Up to a compatible Pokémon. (Gen IV: Natural Gift)
388,tm84,TM84,37,10000,Teaches Poison Jab to a compatible Pokémon.
389,tm85,TM85,37,10000,Teaches Dream Eater to a compatible Pokémon.
390,tm86,TM86,37,10000,Teaches Grass Knot to a compatible Pokémon.
391,tm87,TM87,37,10000,Teaches Swagger to a compatible Pokémon.
392,tm88,TM88,37,10000,Teaches Pluck to a compatible Pokémon.
393,tm89,TM89,37,10000,Teaches U-turn to a compatible Pokémon.
394,tm90,TM90,37,10000,Teaches Substitute to a compatible Pokémon.
395,tm91,TM91,37,10000,Teaches Flash Cannon to a compatible Pokémon.
396,tm92,TM92,37,10000,Teaches Trick Room to a compatible Pokémon.
397,hm01,HM01,37,0,Teaches Cut to a compatible Pokémon.
398,hm02,HM02,37,0,Teaches Fly to a compatible Pokémon.
399,hm03,HM03,37,0,Teaches Surf to a compatible Pokémon.
400,hm04,HM04,37,0,Teaches Strength to a compatible Pokémon.
401,hm05,HM05,37,0,Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash)
402,hm06,HM06,37,0,Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool)
403,hm07,HM07,37,0,Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall)
404,hm08,HM08,37,0,Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive)
405,explorer-kit,Explorer Kit,21,0,Allows visiting the Underground.
406,loot-sack,Loot Sack,23,0,Carries coal mine loot.
407,rule-book,Rule Book,23,0,List of battle types and their rules.
408,poke-radar,Poké Radar,21,0,Use to track down rare or shiny Pokémon. 50 steps to recharge.
409,point-card,Point Card,21,0,Keeps count of Battle Points earned.
410,journal,Journal,21,0,Records prior significant activities the player took.
411,seal-case,Seal Case,21,0,Stores Seals that can be applied to Poké Ball capsules.
412,fashion-case,Fashion Case,21,0,Holds Pokémon Accessories for use in Contests.
413,seal-bag,Seal Bag,23,0,Holds ten Seals for Poké Balls.
414,pal-pad,Pal Pad,21,0,Use to record Friend Codes and check your own.
415,works-key,Works Key,22,0,Grants access to Valley Windworks.
416,old-charm,Old Charm,22,0,Trade to Cynthia's grandmother in Celestic Town for HM04 (Surf).
417,galactic-key,Galactic Key,22,0,Grants access to Galactic HQ in Veilstone City.
418,red-chain,Red Chain,23,0,Used to bind Palkia and Dialga.
419,town-map,Town Map,21,0,Use to see the overworld map.
420,vs-seeker,Vs. Seeker,21,0,Allows rebattling of on-screen trainers. 100 steps to recharge.
421,coin-case,Coin Case,21,0,Holds coins for the Game Corner.
422,old-rod,Old Rod,21,0,Used to catch Pokémon in bodies of water.
423,good-rod,Good Rod,21,0,Used to catch Pokémon in bodies of water.
424,super-rod,Super Rod,21,0,Used to catch Pokémon in bodies of water.
425,sprayduck,Sprayduck,21,0,Used to water berries.
426,poffin-case,Poffin Case,21,0,Holds Poffins.
427,bicycle,Bicycle,21,0,Use for fast transit.
428,suite-key,Suite Key,20,0,Opens a locked building in the Lakeside Resort.
429,oaks-letter,Oak’s Letter,20,0,"Allows access to Seabreak path, Flower Paradise, and Shaymin."
430,lunar-wing,Lunar Wing,20,0,Cures sailor's son of nightmares in Canalave City.
431,member-card,Member Card,20,0,Allows access to Newmoon Island and Darkrai.
432,azure-flute,Azure Flute,20,0,Allows entry into the Hall of Origin. Unreleased.
433,ss-ticket,S.S. Ticket,22,0,Ticket for a ship. (RSE: S.S. Tidal LF: S.S. Anne HG: S.S. Aqua)
434,contest-pass,Contest Pass,21,0,Allows participation in Pokémon Contests.
435,magma-stone,Magma Stone,22,0,Magma is sealed inside.
436,parcel,Parcel,22,0,Given to the trainer's rival in Jubilife City. Contains Town Maps.
437,coupon-1,Coupon 1,22,0,The first of three tickets used to obtain a Pokétch.
438,coupon-2,Coupon 2,22,0,The second of three tickets used to obtain a Pokétch.
439,coupon-3,Coupon 3,22,0,The last of three tickets used to obtain a Pokétch.
440,storage-key,Storage Key,22,0,Grants access to the Team Galactic warehouse in Veilstone City.
441,secret-potion,Secret Potion,22,0,Used to heal the Ampharos at the top of Olivine Lighthouse.
442,griseous-orb,Griseous Orb,18,0,"Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme."
443,vs-recorder,Vs. Recorder,21,0,"Records wireless, Wi-Fi, or Battle Frontier battles, and stores points."
444,gracidea,Gracidea,20,0,Changes an unfrozen Shaymin to Sky Forme in the day.
445,secret-key,Secret Key,20,0,Gen IV: The key to Rotom's appliance room. Gen III: The key to Cinnabar Gym.
446,apricorn-box,Apricorn Box,21,0,Holds Apricorns.
447,berry-pots,Berry Pots,21,0,Allows portable berry growing.
448,squirt-bottle,Squirt Bottle,22,0,Use on Sudowoodo blocking the path on Route 36. Also waters berries.
449,lure-ball,Lure Ball,39,0,3× effectiveness while fishing. Made from Blu Apricorn.
450,level-ball,Level Ball,39,0,Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.
451,moon-ball,Moon Ball,39,0,4× effectiveness on familes of Pokémon with a Moon Stone evolution. Made from Ylw Apricorn.
452,heavy-ball,Heavy Ball,39,0,Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.
453,fast-ball,Fast Ball,39,0,4× effectiveness on Pokémon with 100 or greater base speed. (Gen II: Roaming or Fleeing Pokémon). Made from Wht Apricorn.
454,friend-ball,Friend Ball,39,0,Caught Pokémon start with 200 happiness. Made from Grn Apricorn.
455,love-ball,Love Ball,39,0,"8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn."
456,park-ball,Park Ball,34,0,Catches Pokémon in the Pal Park every time.
457,sport-ball,Sport Ball,34,300,Tries to catch a Pokémon in the Bug-Catching contest in National Park. (Gen II: Park Ball)
458,red-apricorn,Red Apricorn,40,20,Used to make a Level Ball.
459,blue-apricorn,Blue Apricorn,40,20,Used to make a Lure Ball.
460,yellow-apricorn,Yellow Apricorn,40,20,Used to make a Moon Ball.
461,green-apricorn,Green Apricorn,40,20,Used to make a Friend Ball.
462,pink-apricorn,Pink Apricorn,40,20,Used to make a Love Ball.
463,white-apricorn,White Apricorn,40,20,Used to make a Fast Ball.
464,black-apricorn,Black Apricorn,40,20,Used to make a Heavy Ball.
465,dowsing-machine,Dowsing Machine,21,0,Use to find hidden items on the field. AKA Itemfinder.
466,rage-candy-bar,Rage Candy Bar,21,350,HS: Traded for TM64. Gen II & Gen V: Acts as a Potion.
467,red-orb,Red Orb,22,0,Summons Groudon to the Embedded Tower.
468,blue-orb,Blue Orb,22,0,Summons Kyogre to the Embedded Tower.
469,jade-orb,Jade Orb,22,0,Summons Rayquaza to the Embedded Tower.
470,enigma-stone,Enigma Stone,20,0,S: Summons Latias H: Summons Latios.
471,unown-report,Unown Report,21,0,Keeps track of Unown types caught.
472,blue-card,Blue Card,21,0,Keeps track of points from Buena's show.
473,slowpoke-tail,Slowpoke Tail,23,0,A tasty tail that sells for a high price.
474,clear-bell,Clear Bell,22,0,HS: Allows Kimono-girls to summon Ho-oh. C: Summons Suicune to the Tin Tower.
475,card-key,Card Key,22,0,HS: Opens doors in the Radio Tower. Gen III: Unlocks Silph Co Doors.
476,basement-key,Basement Key,22,0,HS: Key to the tunnel under Goldenrod City. Gen III: Key to New Mauville.
477,red-scale,Red Scale,22,0,Trade to Mr. Pokémon for an Exp. Share.
478,lost-item,Lost Item,22,0,A Poké Doll lost by the Copycat who lives in Saffron City. Trade for a Pass.
479,pass,Pass,22,0,Grants access to ride the Magnet Train between Goldenrod City and Saffron City.
480,machine-part,Machine Part,22,0,Must be replaced in the Power Plant to power the Magnet Train.
481,silver-wing,Silver Wing,22,0,Summons Lugia to the Whirl Islands.
482,rainbow-wing,Rainbow Wing,22,0,Summons Ho-Oh at the top of the Bell Tower.
483,mystery-egg,Mystery Egg,22,0,Deliver to Professor Elm.
484,gb-sounds,GB Sounds,21,0,Use to listen to GameBoy era audio.
485,tidal-bell,Tidal Bell,22,0,Allows Kimono-girls to summon Lugia.
486,data-card-01,Data Card 01,41,0,Records the number of times the trainer has come in first place overall in the Pokéathlon.
487,data-card-02,Data Card 02,41,0,Records the number of times the trainer has come in last place overall in the Pokéathlon.
488,data-card-03,Data Card 03,41,0,Records the number of times the trainer's Pokémon have dashed in the Pokéathlon.
489,data-card-04,Data Card 04,41,0,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.
490,data-card-05,Data Card 05,41,0,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.
491,data-card-06,Data Card 06,41,0,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.
492,data-card-07,Data Card 07,41,0,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.
493,data-card-08,Data Card 08,41,0,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.
494,data-card-09,Data Card 09,41,0,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.
495,data-card-10,Data Card 10,41,0,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.
496,data-card-11,Data Card 11,41,0,Records the number of points the trainer has earned in the Pokéathlon.
497,data-card-12,Data Card 12,41,0,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.
498,data-card-13,Data Card 13,41,0,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.
499,data-card-14,Data Card 14,41,0,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.
500,data-card-15,Data Card 15,41,0,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.
501,data-card-16,Data Card 16,41,0,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.
502,data-card-17,Data Card 17,41,0,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.
503,data-card-18,Data Card 18,41,0,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.
504,data-card-19,Data Card 19,41,0,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.
505,data-card-20,Data Card 20,41,0,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.
506,data-card-21,Data Card 21,41,0,Records the number of times the trainer has come in first across all Pokéathlon events.
507,data-card-22,Data Card 22,41,0,Records the number of times the trainer has come in last across all Pokéathlon events.
508,data-card-23,Data Card 23,41,0,Records the number of times the trainer has switched Pokémon in the Pokéathlon.
509,data-card-24,Data Card 24,41,0,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.
510,data-card-25,Data Card 25,41,0,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.
511,data-card-26,Data Card 26,41,0,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.
512,data-card-27,Data Card 27,41,0,Records the total time spent in the Pokéathlon.
513,lock-capsule,Lock Capsule,23,0,Contains TM95 (Snarl).
514,photo-album,Photo Album,23,0,Stores photos from your adventure.
515,orange-mail,Orange Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
516,harbor-mail,Harbor Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
517,glitter-mail,Glitter Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
518,mech-mail,Mech Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
519,wood-mail,Wood Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
520,wave-mail,Wave Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
521,bead-mail,Bead Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
522,shadow-mail,Shadow Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
523,tropic-mail,Tropic Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
524,dream-mail,Dream Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
525,fab-mail,Fab Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
526,retro-mail,Retro Mail,25,0,Lets a Trainer write a message and send it via Pokémon trade.
527,mach-bike,Mach Bike,21,0,"Faster than the Acro Bike, and can ride up sandy slopes and across cracked floors."
528,acro-bike,Acro Bike,21,0,"More maneuverable than the Mach Bike, and allows hopping along rails."
529,wailmer-pail,Wailmer Pail,21,0,Used to water berries.
530,devon-goods,Devon Goods,22,0,Contains mechanical parts to be delivered to Captain Stern.
531,soot-sack,Soot Sack,21,0,Stores volcanic ash from Route 113.
532,pokeblock-case,Pokéblock Case,21,0,Holds Pokéblocks.
533,letter,Letter,22,0,A letter to Steven from the Devon Corp president.
534,eon-ticket,Eon Ticket,20,0,Provides access to Southern Island and Latias or Latios.
535,scanner,Scanner,22,0,Trade to Captain Stern for a DeepSeaTooth or DeepSeaScale.
536,go-goggles,Go-Goggles,21,0,Allows passage through windy deserts.
537,meteorite,Meteorite,22,0,FL: Deliver to Lostelle's father. RSE: Trade to Professor Cozmo for TM27 (Return).
538,rm-1-key,Rm. 1 Key,22,0,Unlocks room 1 on the Abandoned Ship.
539,rm-2-key,Rm. 2 Key,22,0,Unlocks room 2 on the Abandoned Ship.
540,rm-4-key,Rm. 4 Key,22,0,Unlocks room 4 on the Abandoned Ship.
541,rm-6-key,Rm. 6 Key,22,0,Unlocks room 6 on the Abandoned Ship.
542,devon-scope,Devon Scope,21,0,Allows spotting of invisible Kecleon.
543,oaks-parcel,Oak's Parcel,22,0,Trade to Prof. Oak for a Pokédex.
544,poke-flute,Poké Flute,22,0,"Use to awaken sleeping Pokémon, including Snorlax on roads."
545,bike-voucher,Bike Voucher,22,0,Trade in Cerulean bike shop for a Bicycle.
546,gold-teeth,Gold Teeth,22,0,The Safari Zone Warden's dentures. Trade for HM04 (Strength).
547,lift-key,Lift Key,22,0,Operates the elevator in Team Rocket's Celadon Hideout.
548,silph-scope,Silph Scope,22,0,Used to identify the true forms of ghosts in Pokémon Tower.
549,fame-checker,Fame Checker,21,0,Records information about NPCs.
550,tm-case,TM Case,21,0,Holds TMs.
551,berry-pouch,Berry Pouch,21,0,Holds berries.
552,teachy-tv,Teachy TV,21,0,Teachers basic trainer advice.
553,tri-pass,Tri-Pass,22,0,Grants access to the first three Sevii Islands.
554,rainbow-pass,Rainbow Pass,22,0,Grants access to all of the Sevii Islands.
555,tea,Tea,22,0,Grants access to Saffron City.
556,mysticticket,MysticTicket,20,0,Allows access to Navel Rock and Lugia or Ho-oh.
557,auroraticket,AuroraTicket,20,0,Allows access to Birth Island and Deoxys.
558,powder-jar,Powder Jar,21,0,Stores Berry Powder made using a Berry Crusher.
559,ruby,Ruby,22,0,Give to Celio with Sapphire to activate Network Machine and get Rainbow Pass.
560,sapphire,Sapphire,22,0,Give to Celio with Ruby to activate Network Machine and get Rainbow Pass.
561,magma-emblem,Magma Emblem,22,0,Provides access to the Team Magma Hideout in the Jagged Pass.
562,old-sea-map,Old Sea Map,20,0,Allows access to Faraway Island and Mew. Unreleased outside of Japan.
563,douse-drive,Douse Drive,18,0,"Grants Genesect a blue, Water-type Techno Blast."
564,shock-drive,Shock Drive,18,0,"Grants Genesect a yellow, Electric-type Techno Blast."
565,burn-drive,Burn Drive,18,0,"Grants Genesect a red, Fire-type Techno Blast."
566,chill-drive,Chill Drive,18,0,"Grants Genesect a white, Ice-type Techno Blast."
567,sweet-heart,Sweet Heart,27,3000,Restores 20 HP.
568,greet-mail,Greet Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
569,favored-mail,Favored Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
570,rsvp-mail,RSVP Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
571,thanks-mail,Thanks Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
572,inquiry-mail,Inquiry Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
573,like-mail,Like Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
574,reply-mail,Reply Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
575,bridge-mail-s,Bridge Mail S,25,50,Lets a Trainer write a message and send it via Pokémon trade.
576,bridge-mail-d,Bridge Mail D,25,50,Lets a Trainer write a message and send it via Pokémon trade.
577,bridge-mail-t,Bridge Mail T,25,50,Lets a Trainer write a message and send it via Pokémon trade.
578,bridge-mail-v,Bridge Mail V,25,50,Lets a Trainer write a message and send it via Pokémon trade.
579,bridge-mail-m,Bridge Mail M,25,50,Lets a Trainer write a message and send it via Pokémon trade.
580,prism-scale,Prism Scale,10,2000,Traded on a Feebas: Holder evolves into Milotic.
581,eviolite,Eviolite,12,4000,"Held: Holder has 1.5× Defense and Special Defense, as long as it's not fully evolved."
582,float-stone,Float Stone,12,4000,Held: Holder has 0.5× weight.
583,rocky-helmet,Rocky Helmet,12,4000,"Held: When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage."
584,air-balloon,Air Balloon,12,4000,"Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move."
585,red-card,Red Card,12,4000,"Held: When the holder takes damage from a move, the opponent switches out for another random party Pokémon. Consumed after use."
586,ring-target,Ring Target,12,4000,Held: Negates the holder's type immunities. Ability immunities are not removed.
587,binding-band,Binding Band,12,4000,Held: Doubles the per-turn damage of multi-turn trapping moves.
588,absorb-bulb,Absorb Bulb,12,4000,Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.
589,cell-battery,Cell Battery,12,4000,Held: Raises the holder's Attack by one stage when it takes Electric-type damage.
590,eject-button,Eject Button,12,4000,"Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer's choice."
591,fire-gem,Fire Gem,42,200,"Held: When the holder uses a damaging []{type:fire}-type move, the move has 1.5× power and this item is consumed."
592,water-gem,Water Gem,42,200,"Held: When the holder uses a damaging []{type:water}-type move, the move has 1.5× power and this item is consumed."
593,electric-gem,Electric Gem,42,200,"Held: When the holder uses a damaging []{type:electric}-type move, the move has 1.5× power and this item is consumed."
594,grass-gem,Grass Gem,42,200,"Held: When the holder uses a damaging []{type:grass}-type move, the move has 1.5× power and this item is consumed."
595,ice-gem,Ice Gem,42,200,"Held: When the holder uses a damaging []{type:ice}-type move, the move has 1.5× power and this item is consumed."
596,fighting-gem,Fighting Gem,42,200,"Held: When the holder uses a damaging []{type:fighting}-type move, the move has 1.5× power and this item is consumed."
597,poison-gem,Poison Gem,42,200,"Held: When the holder uses a damaging []{type:poison}-type move, the move has 1.5× power and this item is consumed."
